#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
151924.99986747786,-320882.2468382879,58335.67876596842,-262546.5680723195,300.72304951347854,234.62411031684337,0.9995044104448884,0
151925.9998674817,-321186.9681170387,58273.6169411001,-262913.3511759386,300.4031180131073,236.71666635525665,0.9906688729151468,344
151926.99986748555,-322074.3645138943,58548.21508479165,-263526.14942910266,301.8186838024924,236.03476092607767,0.9935309195065428,311
151927.9998674894,-320961.15131348674,57879.247677637206,-263081.90363584954,298.37012671084216,236.64065836497963,0.9909870716159979,320
151928.99986749323,-321728.1219009056,58552.40380237566,-263175.71809852996,301.84027683015677,237.06315044275888,0.9892209422696298,314
151929.99986749707,-320510.26288871793,58073.24548852316,-262437.0174001948,299.3701941570891,238.12121158777467,0.9848254655463579,319
151930.9998675009,-320151.5728556989,57840.270126864954,-262311.3027288339,298.16919568237466,237.93310610424567,0.9856040502226203,313
151931.99986750475,-320437.15326996776,58047.7662602262,-262389.38700974156,299.2388475884917,237.32195433401893,0.9881421789082976,317
151932.9998675086,-320911.2462194804,58398.09140467987,-262513.15481480054,301.044789475,236.53635657203003,0.9914240519172818,315
151933.99986751244,-321035.4389709439,58382.29750062109,-262653.14147032285,300.96337118875135,236.37125700114112,0.9921165374911082,317
151934.99986751628,-320596.27450612374,58522.49907909997,-262073.77542702376,301.6861166357687,237.30056855800598,0.9882312313173816,315
151935.99986752012,-321068.3736917628,58754.762426148285,-262313.6112656145,302.883444643124,236.86496837186715,0.9900486115372976,317
151936.99986752396,-321413.9471742809,59300.13797504688,-262113.809199234,305.69488014304915,235.6284006211936,0.9952443442308037,316
151937.9998675278,-320387.46910573216,57647.280754796404,-262740.18835093576,297.1743267836176,235.10404189337524,0.9974640638664448,318
151938.99986753165,-320720.4144314518,57810.12871018273,-262910.2857212691,298.01381532282323,235.93883651378945,0.9939348541488936,316
