#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
9999.000001119564,-320792.0673015688,58390.099714307464,-262401.96758726134,301.0035919514536,235.38746723465763,0.9962630373375496,0
10000.000001119768,-321495.4137734298,58180.53888182668,-263314.87489160313,299.92329642845084,234.81129002396855,0.9987076559838984,483
10001.000001119972,-322098.55057230406,58079.31766919722,-264019.23290310684,299.40149652175046,234.57334441016334,0.9997207212442015,431
10002.000001120176,-320918.57561025023,57479.176779984264,-263439.398830266,296.30774322771776,235.10590025413643,0.9974561795552686,443
10003.00000112038,-320858.9224193068,58033.68876092904,-262825.2336583778,299.16627744603824,235.19688165656876,0.9970703327640971,427
10004.000001120583,-320942.795496501,58287.302318703005,-262655.493177798,300.4736667505789,236.38789749115392,0.9920466975986735,439
10005.000001120787,-320513.99920714577,58210.11663872027,-262303.8825684255,300.0757710964236,236.7446269730582,0.9905518704130094,430
10006.00000112099,-320824.3282639452,57959.01849672408,-262865.3097672211,298.78134887342696,236.7090054428751,0.9907009351825722,431
10007.000001121194,-320830.2674896051,58652.216249094345,-262178.0512405108,302.3548144851837,236.47984194718433,0.9916609852554292,427
10008.000001121398,-320921.31542881066,58529.360054701334,-262391.9553741093,301.72148527378107,236.08021125505903,0.9933396442323272,433
10009.000001121602,-321340.57222855184,57841.19232944981,-263499.37989910203,298.17394967820456,235.38661685521552,0.9962666365294546,429
10010.000001121805,-319958.20332049835,58010.39464803584,-261947.8086724625,299.0461952456912,236.01288687483307,0.9936230015387324,434
10011.000001122009,-321783.12203511875,58660.11996322176,-263123.002071897,302.39555848722773,236.1137919619858,0.9931983689294549,430
10012.000001122213,-320425.10679059965,57865.35942576814,-262559.7473648315,298.29853214739785,237.1630644462171,0.9888041951472326,434
10013.000001122417,-321665.5801372514,58596.5163115256,-263069.0638257258,302.06767880016696,236.18621423698715,0.99289382242729,431
10014.00000112262,-320082.8569422334,57795.15152579697,-262287.7054164364,297.9366072632465,236.05130566570654,0.9934612833300764,435
10015.000001122824,-321460.0289752092,58565.92582918354,-262894.1031460257,301.90998348692824,235.43724202452267,0.9960524131265822,430
10016.000001123028,-321520.58797841496,59013.851941123256,-262506.7360372917,304.21906275348863,235.51341358102403,0.9957302622074005,433
10017.000001123231,-321134.78724275785,57945.89351032523,-263188.8937324326,298.7136889778334,234.21195082163482,1.00126330973172,430
10018.000001123435,-321406.7164869511,58851.975665504,-262554.7408214471,303.384583267214,236.20596494106633,0.99281080017138,433
10019.000001123639,-320883.97075053654,58824.09960463882,-262059.87114589772,303.24088091885477,236.1835011421137,0.9929052280298255,431
10020.000001123843,-320848.7752243404,58415.975759304594,-262432.7994650358,301.13698412799965,235.91369445803142,0.9940407808759548,434
10021.000001124046,-320960.000316693,58138.69071494276,-262821.3096017502,299.7075672447317,236.2218113416353,0.9927441997269106,432
10022.00000112425,-322025.9466580106,58445.0488247161,-263580.89783329447,301.286857088668,235.40829179393978,0.9961749064627892,434
10023.000001124454,-321384.551854979,58673.215656723885,-262711.3361982551,302.46306737662024,236.69179856802867,0.990772956550043,433
10024.000001124658,-320650.6607721115,57748.14564440311,-262902.5151277084,297.6942898290988,237.48255624332677,0.9874739297403979,435
10025.000001124861,-321205.106298418,58263.45295810059,-262941.6533403174,300.35072222330126,237.4482105409991,0.9876167629315595,434
10026.000001125065,-321708.5337031528,58823.942505490384,-262884.5911976624,303.24007106567416,237.70272754883166,0.9865592855269937,435
10027.000001125269,-321370.11739274045,58426.70281207707,-262943.4145806634,301.1922825678271,237.51214134059683,0.9873509275557598,432
10028.000001125472,-321042.08958477736,57834.18938886974,-263207.9001959076,298.1378492043376,235.38362128242412,0.9962793153607729,434
10029.000001125676,-320605.9827868452,58287.4362507849,-262318.5465360603,300.4743571764889,236.48588741564953,0.9916356346720177,431
10030.00000112588,-321036.3764480881,57865.889900864204,-263170.4865472239,298.30126677039283,237.00641439414284,0.9894577480439212,432
10031.000001126084,-321452.41513461224,58511.67139135506,-262940.7437432572,301.6302994181292,236.04120553647635,0.993503793227126,431
10032.000001126287,-321006.0352199159,58162.3773493389,-262843.657870577,299.82967291109236,235.349861189162,0.9964222280543763,432
10033.000001126491,-321341.2631473392,58541.89077239833,-262799.3723749409,301.78608168747076,235.2243302271903,0.9969539835947016,431
10034.000001126695,-320392.8411042434,57897.299474945874,-262495.54162929754,298.46318453841354,236.40171789094268,0.9919887010574795,432
10035.000001126898,-321392.9928760561,58583.127832778686,-262809.86504327744,301.9986605896603,236.7893890511811,0.9903646189471143,432
10036.000001127102,-320735.4410904369,58411.52370173758,-262323.9173886993,301.1140335708709,235.79830999549588,0.9945272002283326,433
10037.000001127306,-320318.822865434,58052.40695566416,-262266.4159097698,299.26277058233507,236.66632028185353,0.9908796181015957,432
10038.00000112751,-321102.27262492804,58730.98360896701,-262371.289015961,302.7608637703572,235.6543761084603,0.9951346413803085,433
10039.000001127713,-320595.5467873898,58406.498911185976,-262189.0478762038,301.08813054943,237.3489339364666,0.9880298561659682,432
10040.000001127917,-320479.0139403108,57782.41059029987,-262696.60335001093,297.87092716733616,237.92642758359878,0.9856317158210404,433
10041.00000112812,-320725.3756293219,58098.33908888759,-262627.03654043435,299.49955279633866,237.73055322544477,0.9864438116038218,433
10042.000001128325,-320965.76470989455,58690.65750917175,-262275.1072007228,302.55298091098285,237.22301580675062,0.988554303050554,434
10043.000001128528,-321658.4546967102,58542.1318342688,-263116.3228624414,301.78732437226233,236.05603481749526,0.9934413803048956,433
10044.000001128732,-320850.16119853104,57928.04584363615,-262922.1153548949,298.6216834527932,235.99850713610772,0.9936835444604951,434
10045.000001128936,-320664.6002897767,57964.30993970635,-262700.29035007034,298.808626500149,235.77073988888915,0.9946434963427127,433
10046.00000112914,-320790.95987011865,58119.97591524827,-262670.9839548704,299.61109161002213,235.92502543610328,0.9939930392077286,434
10047.000001129343,-320542.3161186164,57978.465693712176,-262563.8504249042,298.8816000491476,237.74103056041662,0.9864003386609279,434
10048.000001129547,-320095.2716831537,58238.093957477075,-261857.17772567662,300.21999543377143,236.30503804506552,0.9923945549297608,434
10049.00000112975,-321259.40207854146,58585.56031614798,-262673.8417623935,302.0112001509062,236.36934650456183,0.9921245564465233,434
10050.000001129954,-320851.3785937184,57652.56167938872,-263198.81691432965,297.201550187566,235.5928136351493,0.9953946788103792,435
10051.000001130158,-320972.99549629074,58110.77126746322,-262862.2242288275,299.56364123642277,235.87551218369086,0.9942016909146855,434
10052.000001130362,-321614.239698197,58474.72584765096,-263139.51385054603,301.43984347755116,235.5952161713916,0.9953845280448836,435
10053.000001130566,-321249.42639469076,58999.80456623924,-262249.6218284515,304.14664790374076,235.75756233415711,0.9946990914590778,434
10054.00000113077,-320949.6127372063,57733.38127799332,-263216.23145921296,297.6181788557664,236.07199812179144,0.9933742033115189,435
10055.000001130973,-320886.00376021955,58126.96096846578,-262759.0427917538,299.64709987373,236.09091829646243,0.9932945949404052,434
10056.000001131177,-320813.91636047675,57952.43083363911,-262861.48552683764,298.74738917373736,237.4157121143291,0.9877519519241598,435
10057.00000113138,-321073.4059629007,58220.75781691098,-262852.64814598975,300.13062684891713,235.15664486320122,0.9972409378217414,433
10058.000001131584,-321459.7973850055,57635.421456642915,-263824.3759283626,297.11319156789284,235.43406324774887,0.9960658615980253,434
10059.000001131788,-321088.6869976714,57604.48889517272,-263484.19810249866,296.95373282135284,236.01571917067307,0.9936110776113617,433
10060.000001131992,-321674.5818981468,57369.17843744275,-264305.403460704,295.74069682129436,236.90489112928603,0.9898817704460778,434
10061.000001132195,-321029.6550723221,58166.62960596486,-262863.02546635724,299.85159348537763,237.2860767881242,0.9882915855521858,433
10062.0000011324,-320570.8450843105,57418.76959185442,-263152.0754924561,295.9963414542024,236.1618980910749,0.9929960546300993,434
10063.000001132603,-320775.25841611694,57920.41290914838,-262854.84550696856,298.58233533197836,235.26824334963703,0.9967679008419592,433
10064.000001132807,-320410.01197957736,58283.306945805205,-262126.70503377216,300.45307042347366,236.96083553150356,0.9896480679281514,434
10065.00000113301,-321377.00765435817,57929.73271668164,-263447.2749376765,298.6303793592627,237.2900087967789,0.9882752090891083,433
10066.000001133214,-321230.6391357784,57533.770898517454,-263696.86823726096,296.5891783658373,236.58935356056483,0.9912019688508976,434
10067.000001133418,-322160.4627498952,57707.874173536664,-264452.5885763585,297.4866885843111,236.05463696322423,0.9934472632068133,433
10068.000001133621,-321602.7780324328,57698.1931196393,-263904.5849127935,297.4367823157615,237.65973117098918,0.9867377695957735,433
10069.000001133825,-321109.5724526637,58965.86249524774,-262143.70995741594,303.97167500017144,236.64458460612,0.9909706298528509,432
10070.000001134029,-320162.31612147996,58053.81610638299,-262108.50001509697,299.2700348177113,237.65302976925796,0.9867655938831552,433
10071.000001134233,-320249.37241622317,58284.53618141578,-261964.8362348074,300.4594071883696,236.7231174838427,0.9906418754154801,432
10072.000001134436,-320374.8412640826,58065.821113048005,-262309.0201510346,299.3319211673708,236.2277306078499,0.9927193240817606,432
10073.00000113464,-321134.9325603924,58105.518096003565,-263029.41446438886,299.5365609011223,236.2770575285598,0.9925120767599157,432
10074.000001134844,-320351.0752532885,57774.20076524868,-262576.8744880398,297.82860514970315,236.0351106003151,0.993529447640066,433
10075.000001135048,-320623.9293119502,58678.90624820278,-261945.02306374745,302.49240263180667,235.2603301548072,0.9968014280354063,432
10076.000001135251,-320406.80119065824,58318.085299129714,-262088.71589152853,300.63235440010766,235.90919277437914,0.9940597494336458,433
10077.000001135455,-321764.00042241765,58237.66701432795,-263526.3334080897,300.2177945226225,234.8823058054223,0.9984057004815868,432
10078.000001135659,-321445.78890662175,58052.200946266064,-263393.5879603557,299.26170859461615,235.71644664847233,0.9948725954117159,433
10079.000001135862,-321672.3431171833,58082.12203924637,-263590.22107793693,299.4159531755683,234.82342607926023,0.9986560411534036,432
10080.000001136066,-321778.5917895383,57923.2704246878,-263855.3213648505,298.59706595319034,236.2711050914374,0.9925370813652307,433
10081.00000113627,-322252.3744858003,57655.62030344411,-264596.7541823562,297.217317532229,236.02656670178686,0.9935654122982149,432
10082.000001136474,-321544.6963146096,57994.02772661857,-263550.66858799104,298.96182302917015,235.86237258023868,0.9942570766713333,433
10083.000001136677,-320880.1690344084,58522.77508835052,-262357.3939460579,301.68753947587743,235.5210065484212,0.9956981608355179,432
10084.000001136881,-320234.35246200557,58489.93868044665,-261744.41378155892,301.5182663152867,236.79208128501799,0.9903533588867123,433
10085.000001137085,-320575.7479458398,58539.8262848577,-262035.92166098207,301.77543916128377,238.4594609205271,0.9834285129770922,433
10086.000001137289,-320941.40321556805,58575.43416711774,-262365.9690484503,301.95899939691446,236.84872869196886,0.9901164948340495,433
10087.000001137492,-321749.9440842513,58417.5858039977,-263332.3582802536,301.14528398085486,236.601568660191,0.9911507957717515,433
10088.000001137696,-322116.52784012724,58240.31997586263,-263876.2078642646,300.2314706587339,236.7614531766619,0.9904814737026157,433
10089.0000011379,-321347.55380153656,57964.4944530268,-263383.05934850976,298.8095776746202,236.60423372162958,0.991139631652986,433
10090.000001138103,-320321.21565433755,58128.073418316664,-262193.1422360209,299.6528346027786,236.72866200931256,0.9906186731590946,433
10091.000001138307,-321029.74971543485,58381.59986373014,-262648.1498517047,300.9597748391804,236.74453822939216,0.9905522417212771,433
10092.000001138511,-320735.65460464684,58402.160252123256,-262333.4943525236,301.0657645666946,235.8046295048195,0.9945005471302675,433
10093.000001138715,-321056.24288443127,57843.6260499137,-263212.61683451757,298.18649561672873,236.702090266516,0.9907298781956155,433
